#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
652534133,-0.161,0.045,-1.066,
652572657,-0.222,0.08,-1.074,
652611181,-0.248,0.161,-1.024,
652649705,-0.184,0.155,-0.998,
652688230,-0.102,0.128,-0.977,
652726754,0.01,0.066,-0.991,
652765278,0.121,0.051,-0.993,
652803802,0.231,0.059,-1.004,
652842326,0.314,0.019,-1.011,
652880851,0.289,0.028,-1.018,
652919374,0.166,0.087,-1.009,
652957899,0.021,0.123,-1.074,
652996422,-0.107,0.083,-1.042,
653034947,-0.2,0.085,-1.065,
653073471,-0.246,0.114,-1.025,
653111996,-0.236,0.129,-0.973,
653150519,-0.18,0.127,-0.972,
653189043,-0.083,0.1,-0.957,
653227568,0.053,0.076,-0.975,
653266092,0.197,0.053,-1.024,
653304616,0.34,0.016,-1.074,
653343140,0.393,-0.007,-1.057,
653381664,0.325,0.011,-0.971,
653420188,0.189,0.011,-0.998,
653458713,0.069,0.026,-1.015,
653497237,-0.086,0.102,-1.023,
653535761,-0.219,0.127,-1.076,
653574285,-0.292,0.112,-1.037,
653612809,-0.293,0.134,-1.008,
653651333,-0.227,0.111,-0.964,
653689857,-0.097,0.073,-0.962,
653728382,0.002,0.063,-0.988,
653766906,0.1,0.067,-1.028,
653805430,0.191,0.06,-1.043,
653843955,0.333,0.041,-1.062,
653882478,0.383,0.024,-1.027,
653921002,0.291,0.009,-0.992,
653959527,0.19,0.018,-0.983,
653998051,0.052,0.064,-0.965,
654036575,-0.079,0.096,-1.017,
654075099,-0.236,0.116,-1.07,
654113624,-0.327,0.096,-1.105,
654152148,-0.331,0.116,-1.099,
654190672,-0.263,0.151,-1.003,
654229196,-0.125,0.105,-1.007,
654267720,-0.013,0.074,-0.965,
654306244,0.081,0.079,-0.979,
654344769,0.165,0.08,-0.98,
654383293,0.27,0.074,-0.99,
654421817,0.35,0.058,-1.001,
654460341,0.358,0.009,-0.978,
654498865,0.218,-0.021,-0.977,
654537390,0.052,0.034,-1.006,
654575913,-0.083,0.11,-1.027,
654614438,-0.186,0.172,-1.028,
654652962,-0.244,0.168,-1.068,
654691486,-0.243,0.149,-1.086,
654730010,-0.183,0.131,-1.05,
654768534,-0.073,0.085,-0.994,
654807058,0.035,0.071,-1.006,
654845583,0.077,0.078,-0.959,
654884107,0.153,0.072,-0.995,
654922631,0.25,0.062,-0.997,
654961155,0.288,0.079,-0.957,
654999679,0.267,0.089,-0.978,
655038204,0.16,0.08,-1.004,
655076728,0.033,0.075,-1.047,
655115252,-0.064,0.116,-1.045,
655153776,-0.167,0.117,-1.038,
655192300,-0.21,0.109,-1.092,
655230824,-0.206,0.111,-1.039,
655269348,-0.145,0.127,-0.995,
655307873,-0.035,0.084,-0.948,
655346397,0.073,0.053,-0.948,
655384921,0.13,0.144,-0.986,
655423445,0.174,0.212,-1.102,
655461970,0.148,0.239,-1.147,
655500494,0.112,0.107,-1.157,
655539018,0.095,-0.087,-1.09,
655577542,0.109,-0.161,-0.886,
655616066,0.101,-0.022,-0.635,
655654590,0.066,0.048,-0.541,
655693115,-0.01,0.099,-0.786,
655731639,-0.062,0.171,-1.249,
