#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
361063476,0.018,-0.025,-1.014,
361101999,0.018,-0.026,-1.014,
361140522,0.018,-0.026,-1.014,
361179045,0.018,-0.025,-1.013,
361217569,0.018,-0.026,-1.014,
361256092,0.018,-0.026,-1.014,
361294616,0.018,-0.025,-1.013,
361333139,0.018,-0.026,-1.014,
361371662,0.018,-0.026,-1.013,
361410186,0.018,-0.025,-1.014,
361448709,0.018,-0.025,-1.013,
361487232,0.019,-0.025,-1.013,
361525756,0.019,-0.025,-1.014,
361564279,0.018,-0.025,-1.014,
361602802,0.018,-0.025,-1.013,
361641326,0.018,-0.025,-1.013,
361679849,0.018,-0.025,-1.013,
361718372,0.018,-0.025,-1.014,
361756896,0.018,-0.025,-1.013,
361795419,0.018,-0.026,-1.013,
361833943,0.018,-0.025,-1.013,
361872466,0.018,-0.026,-1.013,
361910989,0.018,-0.026,-1.013,
361949512,0.018,-0.025,-1.013,
361988036,0.018,-0.025,-1.013,
362026559,0.019,-0.025,-1.013,
362065083,0.018,-0.025,-1.013,
362103606,0.018,-0.025,-1.014,
362142129,0.018,-0.025,-1.013,
362180653,0.018,-0.025,-1.014,
362219176,0.018,-0.025,-1.013,
362257700,0.018,-0.025,-1.013,
362296222,0.018,-0.025,-1.013,
362334746,0.019,-0.025,-1.014,
362373269,0.018,-0.025,-1.013,
362411792,0.018,-0.025,-1.013,
362450316,0.018,-0.025,-1.013,
362488839,0.019,-0.026,-1.014,
362527363,0.018,-0.026,-1.013,
362565886,0.019,-0.026,-1.014,
362604409,0.018,-0.025,-1.013,
362642933,0.018,-0.025,-1.014,
362681456,0.018,-0.025,-1.013,
362719980,0.018,-0.025,-1.014,
362758503,0.018,-0.025,-1.013,
362797026,0.018,-0.025,-1.013,
362835549,0.018,-0.026,-1.014,
362874072,0.018,-0.025,-1.013,
362912596,0.018,-0.025,-1.013,
362951120,0.018,-0.026,-1.013,
362989643,0.018,-0.026,-1.013,
363028166,0.018,-0.025,-1.013,
363066690,0.018,-0.025,-1.013,
363105213,0.018,-0.025,-1.013,
363143736,0.018,-0.025,-1.013,
363182259,0.018,-0.026,-1.013,
363220782,0.018,-0.025,-1.014,
363259306,0.019,-0.026,-1.014,
363297830,0.018,-0.026,-1.013,
363336353,0.018,-0.025,-1.013,
363374876,0.018,-0.026,-1.013,
363413400,0.018,-0.026,-1.013,
363451923,0.018,-0.025,-1.014,
363490446,0.019,-0.025,-1.014,
363528969,0.018,-0.025,-1.013,
363567493,0.018,-0.025,-1.013,
363606016,0.018,-0.026,-1.013,
363644540,0.018,-0.025,-1.013,
363683063,0.017,-0.025,-1.014,
363721586,0.018,-0.025,-1.013,
363760109,0.018,-0.025,-1.013,
363798633,0.018,-0.025,-1.013,
363837156,0.019,-0.025,-1.013,
363875679,0.018,-0.025,-1.013,
363914203,0.018,-0.025,-1.013,
363952726,0.018,-0.025,-1.013,
363991250,0.018,-0.025,-1.013,
364029773,0.018,-0.025,-1.014,
364068296,0.018,-0.025,-1.013,
364106820,0.018,-0.026,-1.013,
364145343,0.017,-0.025,-1.013,
364183866,0.018,-0.025,-1.014,
364222390,0.018,-0.025,-1.013,
364260913,0.018,-0.026,-1.013,
364299437,0.018,-0.026,-1.013,
364337960,0.018,-0.025,-1.013,
364376483,0.018,-0.026,-1.013,
364415006,0.018,-0.025,-1.014,
364453530,0.018,-0.025,-1.014,
364492053,0.018,-0.025,-1.013,
364530576,0.018,-0.026,-1.013,
364569100,0.018,-0.025,-1.013,
364607623,0.018,-0.025,-1.013,
364646147,0.018,-0.026,-1.013,
364684670,0.018,-0.025,-1.013,
364723193,0.018,-0.026,-1.013,
364761717,0.018,-0.025,-1.013,
364800240,0.018,-0.025,-1.013,
364838763,0.018,-0.025,-1.014,
364877286,0.018,-0.025,-1.014,
364915810,0.019,-0.025,-1.013,
364954333,0.018,-0.025,-1.014,
364992856,0.018,-0.025,-1.014,
365031380,0.019,-0.026,-1.013,
365069903,0.018,-0.025,-1.013,
365108429,0.018,-0.025,-1.013,
365146950,0.018,-0.025,-1.013,
365185473,0.018,-0.025,-1.013,
365223996,0.018,-0.025,-1.014,
365262520,0.018,-0.025,-1.013,
365301043,0.018,-0.025,-1.013,
365339567,0.018,-0.025,-1.013,
365378090,0.018,-0.025,-1.013,
365416613,0.018,-0.025,-1.013,
365455137,0.018,-0.025,-1.014,
365493660,0.018,-0.026,-1.014,
365532184,0.018,-0.025,-1.014,
365570706,0.018,-0.025,-1.014,
365609230,0.018,-0.026,-1.014,
365647753,0.018,-0.026,-1.013,
365686277,0.018,-0.026,-1.013,
365724800,0.019,-0.026,-1.013,
365763323,0.018,-0.025,-1.013,
365801847,0.018,-0.025,-1.014,
365840370,0.018,-0.025,-1.014,
365878893,0.018,-0.026,-1.013,
365917416,0.018,-0.025,-1.013,
365955940,0.019,-0.026,-1.013,
365994464,0.018,-0.026,-1.013,
366032987,0.018,-0.026,-1.014,
366071510,0.018,-0.025,-1.014,
366110033,0.018,-0.025,-1.013,
366148557,0.018,-0.025,-1.013,
366187080,0.019,-0.025,-1.013,
366225603,0.018,-0.026,-1.013,
366264127,0.019,-0.025,-1.013,
366302650,0.018,-0.025,-1.013,
366341173,0.018,-0.025,-1.013,
366379697,0.018,-0.025,-1.013,
366418220,0.018,-0.025,-1.014,
366456743,0.018,-0.025,-1.014,
366495267,0.018,-0.025,-1.014,
366533790,0.018,-0.025,-1.014,
366572313,0.018,-0.026,-1.014,
366610837,0.018,-0.025,-1.014,
366649360,0.019,-0.026,-1.013,
366687884,0.018,-0.025,-1.013,
366726407,0.018,-0.025,-1.013,
366764931,0.018,-0.025,-1.014,
366803454,0.018,-0.025,-1.014,
366841977,0.019,-0.025,-1.013,
366880500,0.019,-0.025,-1.013,
366919024,0.018,-0.025,-1.013,
366957547,0.018,-0.026,-1.014,
366996070,0.018,-0.025,-1.013,
367034593,0.018,-0.025,-1.013,
367073117,0.018,-0.025,-1.013,
367111640,0.018,-0.025,-1.013,
367150163,0.018,-0.025,-1.014,
367188687,0.018,-0.025,-1.014,
