#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
886030503,0.128,-0.528,2.15,
886069027,0.286,-0.681,0.076,
886107551,-0.162,0,-0.519,
886146075,-0.518,0.197,-1.585,
886184599,-0.461,0.481,-2.519,
886223123,-0.294,0.328,-0.831,
886261648,-0.018,-0.066,-1.228,
886300172,-0.3,-0.369,-0.375,
886338695,0.163,-0.459,0.462,
886377220,0.199,-0.728,0.488,
886415744,0.406,-1.39,-0.077,
886454268,-0.047,-0.684,-0.305,
886492793,-0.253,-0.934,-1.258,
886531317,0.01,-1.321,-1.188,
886569841,-0.402,0.521,-1.003,
886608365,-0.195,0.15,-0.588,
886646889,-0.074,-1.352,-0.874,
886685413,-0.026,-1.459,-1.049,
886723938,-0.07,-0.408,-1.288,
886762462,0.099,-0.392,-0.462,
886800986,0.101,-0.794,-1.174,
886839510,0.106,-0.86,-1.248,
886878034,0.069,-0.336,-0.571,
886916559,0.23,-0.001,0.092,
886955083,0.256,0.011,0.368,
886993607,-0.123,-0.189,0.028,
887032131,-0.607,-0.228,-1.762,
887070655,-0.741,-0.497,-2.774,
887109179,-0.697,-0.385,-2.434,
887147703,-0.41,-0.316,-1.565,
887186228,-0.035,-0.475,-0.739,
887224752,0.153,-0.346,-0.326,
887263276,0.279,-0.219,0.1,
887301801,0.289,-0.09,0.384,
887340324,0.108,-0.157,-0.057,
887378849,-0.132,-0.001,-0.771,
887417373,-0.445,0.478,-1.809,
887455896,-0.625,0.853,-2.54,
887494421,-0.472,0.497,-2.18,
887532945,-0.136,0.141,-1.023,
887571470,0.186,-0.248,-0.329,
887609993,0.33,-0.467,-0.08,
887648517,0.314,-0.205,0.422,
887687042,0.048,-0.169,-0.338,
887725566,-0.358,0.218,-1.567,
887764090,-0.56,0.471,-2.827,
887802614,-0.456,0.328,-2.354,
887841139,-0.236,0.07,-1.217,
887879662,0.206,-0.479,-0.069,
887918187,0.46,-0.536,0.801,
887956711,0.306,-0.307,0.688,
887995235,-0.192,-0.277,-0.519,
888033759,-0.853,0.816,-2.671,
888072283,-0.827,0.874,-2.934,
888110808,-0.569,0.674,-1.8,
888149332,-0.151,-0.079,-0.381,
888187855,0.373,-0.795,0.22,
888226380,0.597,-0.886,0.855,
888264904,0.088,-0.681,0.022,
888303429,-0.945,0.397,-1.76,
888341953,-1.397,1.348,-2.637,
888380476,-1.274,1.134,-1.765,
888419000,-0.382,0.021,-0.665,
888457525,0.893,-0.83,-0.312,
888496049,1.539,-1.218,-0.584,
888534573,0.82,-0.885,-1.079,
888573097,-0.487,0.019,-1.065,
