@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.995605, 0.0535278, -0.00624847, 1.07617, 0.123047, 0.0732422, 0.120422, 0.152344, -1.76563, -0.678711, -0.614746, 0.479248, -0.22998, 0.73291, 1.20703, 2.21094, Jaz
-0.982422, 0.0606995, -0.0153885, 1.05078, 0.104004, 0.0679932, 0.0903931, 0.125977, -1.77246, -0.743652, -0.554688, 0.486572, -0.451904, 0.759766, 1.11719, 2.10352, Jaz
-0.958984, 0.058136, -0.0527344, 1.04102, 0.0932617, 0.0665283, 0.120605, 0.124023, -1.89453, -0.665527, -0.544922, 0.516602, -0.438965, 0.634766, 1.38184, 2.25586, Jaz
-0.989258, 0.0419922, -0.0328979, 1.06055, 0.117188, 0.0612183, 0.101624, 0.138672, -1.85938, -0.708984, -0.562988, 0.436523, -0.139893, 0.557617, 1.2041, 2.12891, Jaz
-1.00977, 0.0723877, -0.0174561, 1.07227, 0.117188, 0.039856, 0.0935669, 0.123047, -1.81934, -0.352783, -0.553711, 0.461914, -0.34082, 0.683594, 0.875977, 1.85254, Jaz
-0.990234, 0.0638428, -0.0317993, 1.08496, 0.169922, 0.0744629, 0.116516, 0.172852, -2.56445, -0.375, -0.728516, 0.391113, -0.0719604, 0.818848, 0.947754, 2.56836, Jaz
-0.994141, 0.0714722, 0.0146484, 1.06348, 0.0830078, 0.0436707, 0.116943, 0.106445, -1.69727, -0.433838, -0.84082, 0.512207, -0.423828, 0.574707, 0.970703, 1.81445, Jaz
-0.980469, 0.00972748, -0.0821533, 1.04492, 0.114746, 0.0515442, 0.0559998, 0.0996094, -1.87012, -0.75293, -1.02148, 0.441162, 0.0329895, 0.804688, 0.61084, 2.125, Jaz
-1.04395, 0.0318909, -0.0447693, 1.11133, 0.0888672, 0.0689697, 0.0910645, 0.109375, -1.79883, -0.84668, -0.511719, 0.364014, -0.179932, 0.70166, 0.95459, 1.91797, Jaz
-1.0166, 0.0537109, -0.0216827, 1.0918, 0.117188, 0.0699463, 0.0941162, 0.124023, -1.89648, -0.93457, -0.662598, 0.459229, -0.271973, 0.543945, 1.08008, 1.99609, Jaz
-0.988281, 0.0612183, 0.00334549, 1.06641, 0.136719, 0.0784302, 0.106628, 0.165039, -1.80566, -0.878906, -0.606934, 0.268066, -0.161987, 0.653809, 1.26563, 2.20703, Jaz
-0.960449, 0.0596008, -0.00483322, 1.0293, 0.0893555, 0.0618286, 0.101257, 0.120117, -1.79297, -0.662598, -0.48291, 0.451904, -0.427979, 0.601563, 1.07715, 2.14453, Jaz
-0.980469, 0.0563965, -0.0394287, 1.05371, 0.0786133, 0.0734253, 0.0942383, 0.103516, -1.70996, -0.753906, -0.506836, 0.557129, -0.457764, 0.57959, 1.06934, 1.97559, Jaz
