@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.931641, -0.00320435, -0.106873, 1.02148, 0.059082, 0.127563, 0.0185699, 0.0439453, -1.24316, -0.922852, -0.48584, 0.524902, -0.161987, 1.03125, 0.23999, 1.53027, Jaz
-0.967773, 0.0518494, -0.067749, 1.01074, 0.0761719, 0.0158234, 0.0646362, 0.0800781, -1.57227, -0.254883, -0.609863, 0.609375, -0.598633, 0.260986, 0.70459, 1.59961, Jaz
-0.967285, 0.0419312, -0.0498352, 1.0625, 0.128906, 0.0800781, 0.101807, 0.123047, -1.89063, -0.642578, -0.57666, 0.550781, -0.178955, 0.649902, 0.888672, 1.93457, Jaz
-1.08789, 0.00502396, -0.137329, 1.12207, 0.0537109, 0.0220184, 0.0294189, 0.0507813, -1.67676, -0.430908, -0.617676, 0.67041, -0.651855, 0.314941, 0.192993, 1.73047, Jaz
-0.912598, 0.105774, 0.0703735, 1.00195, 0.15332, 0.0806885, 0.0847168, 0.162109, -2.02539, -0.414795, -0.493896, 0.374756, -0.151978, 0.630859, 0.72998, 2.08203, Jaz
-1.0918, 0.0179138, -0.148193, 1.13477, 0.0371094, 0.0373535, 0.0371399, 0.0380859, -1.6709, -0.375, -0.61084, 0.90332, -0.875977, 0.556641, 0.255859, 1.71484, Jaz
-0.85498, 0.193359, 0.0988159, 0.977539, 0.119629, 0.0419006, 0.130249, 0.11377, -1.78613, -0.254883, -0.668945, 0.567383, -0.0239868, 0.572754, 0.84082, 1.83984, Jaz
-1.04395, -0.0952759, -0.0646973, 1.06738, 0.0556641, 0.0367737, 0.0104523, 0.0683594, -1.74219, -0.661621, -0.329834, 0.565918, -0.444824, 0.236938, 0.196899, 1.83398, Jaz
-0.964355, 0.196289, 0.0261536, 1.06836, 0.100098, 0.0354919, 0.180908, 0.144531, -1.55273, -0.0709839, -0.728516, 0.610352, -0.591797, 0.658691, 0.933594, 1.81543, Jaz
-0.991211, -0.0567322, -0.154419, 1.04883, 0.0888672, 0.0619202, 0.0165253, 0.0791016, -1.74609, -0.57373, -0.451904, 0.432373, -0.115967, 0.48999, 0.131958, 1.81055, Jaz
-0.962402, 0.0708008, -0.0179138, 1.02539, 0.104004, 0.053009, 0.0776367, 0.114258, -1.58398, -0.335938, -0.60791, 0.621582, -0.601563, 0.555664, 0.581543, 1.63867, Jaz
-0.965332, 0.0688477, 0.00984192, 1.05859, 0.0917969, 0.0758057, 0.104187, 0.0878906, -1.63574, -0.427979, -0.612793, 0.623535, -0.35498, 0.619629, 0.82959, 1.74414, Jaz
-1.07031, -0.0298462, -0.141479, 1.10742, 0.0810547, 0.0180206, 0.0417175, 0.0810547, -1.6709, -0.284912, -0.538574, 0.578125, -0.542969, 0.296875, 0.351807, 1.69434, Jaz
-0.961426, 0.103638, 0.0735474, 1.05664, 0.120605, 0.085144, 0.117371, 0.145508, -1.89551, -0.710938, -0.35791, 0.509766, -0.470947, 0.650879, 1.01758, 1.91699, Jaz
-1.11133, 0.00461578, -0.12561, 1.14258, 0.0439453, 0.0253296, 0.0365601, 0.0537109, -1.62988, -0.379883, -0.527832, 0.849609, -0.825684, 0.480957, 0.258789, 1.6748, Jaz
-0.916992, 0.0970459, 0.0314026, 1.03027, 0.137207, 0.0736694, 0.171143, 0.170898, -1.69922, -0.703613, -0.510742, 0.507324, -0.268799, 0.454834, 1.02344, 1.92578, Jaz
-1.07715, -0.0253601, -0.0381775, 1.10352, 0.0400391, 0.0222626, 0.0342102, 0.0400391, -1.62598, -0.303955, -0.321777, 0.868164, -0.772949, 0.395996, 0.421875, 1.68359, Jaz
-0.95459, 0.214844, 0.0499573, 1.06641, 0.137695, 0.0462952, 0.15918, 0.165039, -1.67188, -0.18689, -0.686523, 0.558594, -0.511719, 0.638672, 0.879883, 1.77832, Jaz
-0.978027, -0.0764771, -0.102905, 1.02637, 0.0893555, 0.0297699, 0.0186615, 0.0595703, -1.55566, -0.505859, -0.558594, 0.408936, -0.0359802, 0.316895, 0.200928, 1.57422, Jaz
-0.965332, 0.128784, 0.0381165, 1.05957, 0.120117, 0.0503235, 0.153442, 0.149414, -1.71191, -0.546875, -0.513672, 0.580078, -0.535645, 0.519531, 0.922852, 1.81445, Jaz
-0.962891, 0.00393295, -0.110229, 1.0459, 0.0952148, 0.1073, 0.0403137, 0.0888672, -1.72656, -0.677734, -0.615723, 0.632324, -0.195923, 0.862793, 0.611816, 1.93945, Jaz
-1.00977, -0.0134964, -0.119568, 1.04102, 0.103516, 0.0170746, 0.0312805, 0.102539, -1.6416, -0.288818, -0.524902, 0.496094, -0.469971, 0.225952, 0.230957, 1.66602, Jaz
-0.980957, 0.0983887, 0.0457458, 1.06543, 0.0913086, 0.0530701, 0.14502, 0.128906, -1.63184, -0.477783, -0.382813, 0.517578, -0.378906, 0.432861, 1.11621, 1.95996, Jaz
-1.09766, -0.0390015, -0.132202, 1.13086, 0.0556641, 0.0253448, 0.0390625, 0.0673828, -1.68652, -0.501953, -0.520996, 0.606445, -0.568848, 0.230957, 0.342773, 1.75684, Jaz
-0.930664, 0.0968628, 0.0161438, 1.04395, 0.15625, 0.0914917, 0.151611, 0.1875, -1.86914, -0.742676, -0.557617, 0.350098, -0.283936, 0.55957, 1.14355, 1.99805, Jaz
-1.13184, 0.00437546, -0.113403, 1.16992, 0.0478516, 0.0286407, 0.0545349, 0.0546875, -1.69727, -0.507813, -0.650879, 0.806641, -0.795898, 0.389893, 0.345947, 1.71875, Jaz
-0.906738, 0.0897217, 0.0782471, 0.993164, 0.146973, 0.0489807, 0.129883, 0.174805, -1.85449, -0.457764, -0.392822, 0.471924, -0.227905, 0.500977, 0.939941, 1.91895, Jaz
-1.06738, -0.0138474, -0.0758057, 1.09082, 0.0410156, 0.0214081, 0.0237579, 0.0449219, -1.66211, -0.259766, -0.61084, 0.854004, -0.833984, 0.444824, 0.208984, 1.68359, Jaz
-0.987793, 0.164429, 0.0229187, 1.0752, 0.194336, 0.0496216, 0.135132, 0.225586, -2.70313, -0.18689, -0.564941, 0.583008, -0.548828, 1.08594, 0.866699, 2.74414, Jaz
-0.957031, -0.0908203, -0.22876, 1.02539, 0.0454102, 0.0263367, 0.0229797, 0.0205078, -1.22852, -0.448975, -0.790527, 0.434326, -0.10498, 0.18689, 0.0849609, 1.28223, Jaz
-0.935059, 0.144165, 0.0666504, 1.02441, 0.0541992, 0.0609436, 0.110229, 0.0751953, -1.46191, -0.332764, -0.441895, 0.623047, -0.602539, 0.807617, 0.768555, 1.69336, Jaz
-0.956055, 0.125977, 0.0458984, 1.03906, 0.0825195, 0.104004, 0.0489197, 0.0869141, -1.82617, -0.343994, -0.414795, 0.513184, -0.303955, 0.947754, 0.651855, 1.88184, Jaz
-1.09863, 0.021637, -0.120911, 1.12891, 0.0351563, 0.0202179, 0.0328979, 0.0351563, -1.58691, -0.395996, -0.460938, 0.849121, -0.842773, 0.321777, 0.361816, 1.63477, Jaz
