#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
664230437,0.092,-0.291,-0.939,
664268961,0.173,-0.517,-0.889,
664307485,0.104,-0.572,-0.782,
664346010,0.1,-0.657,-0.698,
664384534,0.109,-0.783,-0.619,
664423058,0.114,-0.864,-0.521,
664461582,0.087,-0.883,-0.432,
664500106,0.078,-0.897,-0.372,
664538629,0.098,-0.966,-0.295,
664577154,0.104,-1.024,-0.252,
664615678,0.117,-0.942,-0.31,
664654202,0.107,-0.856,-0.442,
664692726,0.078,-0.792,-0.602,
664731250,0.065,-0.622,-0.737,
664769774,0.068,-0.422,-0.922,
664808298,0.084,-0.152,-1.01,
664846822,0.003,0.016,-1.009,
664885346,-0.013,0.214,-0.968,
664923870,-0.045,0.328,-0.943,
664962394,-0.044,0.473,-0.886,
665000918,-0.096,0.569,-0.854,
665039443,-0.127,0.667,-0.804,
665077966,-0.108,0.736,-0.678,
665116491,-0.121,0.792,-0.595,
665155014,-0.108,0.839,-0.524,
665193538,-0.097,0.862,-0.449,
665232062,-0.122,0.9,-0.48,
665270587,-0.117,0.923,-0.481,
665309110,-0.142,0.938,-0.509,
665347635,-0.145,0.888,-0.588,
665386158,-0.117,0.798,-0.735,
665424683,-0.034,0.672,-0.72,
665463207,-0.033,0.514,-0.861,
665501731,0.015,0.388,-0.933,
665540255,0.009,0.225,-0.924,
665578779,0.042,0.099,-1.045,
665617303,0.066,0.043,-0.993,
665655827,0.1,-0.106,-0.986,
665694351,0.139,-0.25,-0.949,
665732875,0.112,-0.449,-0.908,
665771399,0.159,-0.553,-0.857,
665809923,0.154,-0.649,-0.746,
665848448,0.136,-0.712,-0.682,
665886971,0.145,-0.761,-0.615,
665925495,0.123,-0.812,-0.55,
665964019,0.122,-0.814,-0.53,
666002543,0.1,-0.772,-0.569,
666041067,0.081,-0.752,-0.635,
666079592,0.056,-0.718,-0.734,
666118116,0.03,-0.664,-0.761,
666156639,-0.063,-0.581,-0.87,
666195164,-0.128,-0.477,-0.91,
666233688,-0.208,-0.43,-0.905,
666272212,-0.349,-0.401,-0.919,
666310736,-0.439,-0.336,-0.882,
666349259,-0.545,-0.263,-0.792,
666387783,-0.672,-0.232,-0.725,
666426308,-0.749,-0.186,-0.641,
666464831,-0.806,-0.198,-0.549,
666503356,-0.864,-0.189,-0.509,
666541880,-0.881,-0.157,-0.48,
666580404,-0.849,-0.206,-0.476,
666618928,-0.849,-0.161,-0.493,
666657452,-0.812,-0.154,-0.531,
666695976,-0.802,-0.173,-0.586,
666734501,-0.731,-0.147,-0.653,
666773025,-0.703,-0.099,-0.734,
666811548,-0.585,-0.091,-0.809,
666850072,-0.506,-0.064,-0.884,
666888596,-0.38,-0.09,-0.938,
666927120,-0.238,-0.073,-1.015,
666965644,-0.089,-0.042,-1.006,
667004169,0.092,-0.03,-1.012,
667042692,0.107,-0.064,-1.039,
667081216,0.274,-0.082,-0.983,
667119741,0.352,-0.096,-0.954,
667158265,0.478,-0.098,-0.875,
667196789,0.492,-0.11,-0.875,
667235313,0.527,-0.119,-0.847,
667273837,0.57,-0.128,-0.841,
667312361,0.543,-0.118,-0.865,
667350885,0.539,-0.131,-0.889,
667389409,0.502,-0.102,-0.904,
667427933,0.456,-0.085,-0.92,
667466457,0.37,-0.073,-0.975,
667504981,0.303,-0.02,-0.962,
667543505,0.227,-0.014,-0.973,
667582029,0.109,-0.062,-1.038,
667620553,0.063,-0.024,-1.012,
667659078,-0.059,-0.045,-1.02,
667697602,-0.133,-0.037,-0.997,
667736126,-0.184,-0.029,-0.974,
667774650,-0.301,-0.066,-0.967,
667813174,-0.344,-0.048,-0.932,
667851698,-0.426,-0.081,-0.923,
667890222,-0.443,-0.069,-0.888,
667928746,-0.522,-0.074,-0.859,
667967270,-0.553,-0.065,-0.833,
668005794,-0.591,-0.059,-0.794,
668044318,-0.636,-0.068,-0.773,
668082842,-0.629,-0.056,-0.773,
668121366,-0.63,-0.078,-0.785,
668159890,-0.597,-0.083,-0.824,
668198414,-0.557,-0.08,-0.844,
668236938,-0.526,-0.05,-0.874,
668275462,-0.479,-0.047,-0.904,
668313986,-0.408,-0.034,-0.937,
668352510,-0.317,-0.03,-0.968,
668391034,-0.232,-0.015,-0.978,
668429559,-0.139,-0.011,-1.003,
668468083,-0.024,0.016,-1.001,
668506607,0.084,0.033,-1.007,
668545131,0.191,0.013,-1.002,
668583655,0.273,-0.02,-1.031,
668622180,0.373,-0.024,-0.977,
668660703,0.421,-0.039,-0.972,
668699227,0.485,-0.05,-0.893,
668737751,0.531,-0.071,-0.856,
668776276,0.563,-0.066,-0.817,
668814799,0.578,-0.062,-0.813,
668853324,0.565,-0.077,-0.85,
668891848,0.576,-0.08,-0.88,
668930372,0.517,-0.064,-0.909,
668968896,0.447,-0.079,-0.94,
