#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
776028989,-0.271,-0.345,0.486,
776067514,-0.141,-0.081,1.16,
776106039,-0.046,0.462,2.193,
776144564,-0.154,0.737,2.382,
776183089,-0.618,-0.25,0.705,
776221615,-0.98,-1.739,-2.053,
776260140,-1.289,-2.185,-3.627,
776298665,-1.511,-1.586,-3.586,
776337190,-1.18,-1.027,-2.476,
776375715,-0.846,-0.752,-1.141,
776414241,-0.832,-0.542,-0.475,
776452766,-1.153,-0.353,-0.257,
776491291,-1.263,0.015,-0.27,
776529816,-0.83,0.518,-0.299,
776568341,0.91,0.236,0.266,
776606867,3.069,-1.18,0.715,
776645392,2.913,-0.946,0.544,
776683917,0.768,-0.496,-0.151,
776722442,-1.084,-0.474,-1.07,
776760968,-2.659,-0.356,-1.79,
776799493,-3.271,-0.066,-2.046,
776838018,-2.457,-0.22,-1.343,
776876543,-1.348,-0.256,-0.885,
776915068,-0.212,-0.182,-0.745,
776953594,1.148,-0.463,-0.43,
776992119,3.088,-1.548,0.33,
777030644,3.086,-1.339,0.768,
777069169,0.94,-0.99,-0.154,
777107695,-0.83,-1.142,-0.731,
777146220,-2.413,-1.041,-1.193,
777184745,-3.043,-0.336,-1.958,
777223270,-2.626,-0.432,-2.597,
777261796,-1.333,-0.871,-2.633,
777300321,-0.422,-1.166,-1.725,
777338845,-0.336,-1.151,-0.805,
777377371,-0.377,-0.833,0.217,
777415896,-0.623,-0.635,1.084,
777454421,-0.435,0.369,1.719,
777492947,-0.219,0.416,1.561,
777531472,0.465,-0.804,0.185,
777570001,0.13,-1.908,-2.104,
777608522,-1.471,-1.635,-3.268,
777647047,-2.658,-1.21,-3.421,
777685573,-2.238,-0.944,-1.829,
777724098,-1.473,-0.693,-0.266,
777762623,-1.008,-0.234,0.509,
777801148,-0.111,-0.093,1.458,
777839673,0.985,-0.591,1.725,
777878199,1.7,-1.708,0.761,
777916724,0.45,-2.27,-1.245,
777955249,-0.97,-1.952,-2.674,
777993775,-2.309,-1.318,-2.82,
778032300,-2.9,-0.558,-2.489,
778070825,-2.55,-0.372,-1.138,
778109350,-1.686,-0.152,-0.111,
778147875,-1.021,-0.149,0.203,
778186400,-0.229,0.064,0.381,
778224926,1.062,-0.678,-0.037,
778263451,2.627,-2.715,-1.203,
778301976,2.107,-2.523,-1.314,
778340502,0.276,-1.153,-0.792,
778379026,-1.309,-0.827,-0.618,
778417552,-2.182,-0.412,-0.79,
778456077,-2.211,-0.598,-0.72,
778494603,-2.428,-0.56,-1.044,
778533128,-1.912,-0.035,-0.852,
778571653,-0.947,-0.094,-1.135,
778610178,0.504,-0.819,-2.291,
778648703,1.034,-1.541,-1.533,
778687228,0.14,-0.742,-0.412,
778725754,-0.489,0.19,0.211,
